,ticker,entry_datetime,exit_datetime,entry_price,exit_price,return_pct,pnl,allocated_cash,shares,holding_ticks,exit_reason
0,NVDA,2025-04-17 10:30:00,2025-04-21 10:45:00,102.6501,96.84,-5.6601,-5660.1,100000.0,974.1832,385.0,Stop loss raised
1,NVDA,2025-04-21 10:45:00,2025-04-21 16:45:00,96.84,96.8,-0.0413,-38.97,94339.9,974.1832,24.0,Strategy logic
2,NVDA,2025-04-22 14:45:00,2025-04-22 18:15:00,97.76,101.82,4.153,3916.34,94300.93,964.6167,14.0,Strategy logic
3,NVDA,2025-04-23 12:15:00,2025-04-24 10:45:00,103.14,104.9487,1.7536,1722.37,98217.27,952.2714,90.0,Strategy logic
4,NVDA,2025-04-25 07:30:00,2025-04-25 11:00:00,106.31,108.04,1.6273,1626.33,99939.65,940.0776,14.0,Strategy logic
5,NVDA,2025-04-28 05:00:00,2025-04-28 16:45:00,109.58,108.64,-0.8578,-871.25,101565.98,926.8661,47.0,Strategy logic
6,NVDA,2025-04-29 17:15:00,2025-04-30 16:45:00,107.94,108.775,0.7736,778.95,100694.73,932.8769,94.0,Strategy logic
7,NVDA,2025-05-01 10:45:00,2025-05-02 05:15:00,112.79,112.7,-0.0798,-80.97,101473.68,899.6691,74.0,Strategy logic
8,NVDA,2025-05-05 05:00:00,2025-05-05 10:30:00,113.61,113.88,0.2377,240.96,101392.71,892.4629,22.0,Strategy logic
9,NVDA,2025-05-05 17:00:00,2025-05-06 13:00:00,113.3396,113.6797,0.3001,304.97,101633.68,896.7181,80.0,Strategy logic
10,NVDA,2025-05-07 10:00:00,2025-05-07 16:30:00,113.56,116.9,2.9412,2998.2,101938.65,897.6633,26.0,Strategy logic
11,NVDA,2025-05-08 10:30:00,2025-05-09 05:15:00,117.79,117.89,0.0849,89.09,104936.84,890.8808,75.0,Strategy logic
12,NVDA,2025-05-09 11:15:00,2025-05-12 05:00:00,116.1316,121.8,4.881,5126.33,105025.93,904.37,263.0,Strategy logic
13,NVDA,2025-05-12 10:30:00,2025-05-13 08:30:00,121.3,123.89,2.1352,2351.97,110152.26,908.0978,88.0,Strategy logic
14,AMBA,2025-05-14 15:00:00,2025-05-14 16:45:00,60.17,61.16,1.6453,1851.08,112504.24,1869.7729,7.0,Strategy logic
15,NVDA,2025-05-15 05:00:00,2025-05-15 13:15:00,133.03,135.2166,1.6437,1879.65,114355.31,859.6205,33.0,Strategy logic
